"";"GRN_name";"Nodes";"Interactions";"Diameter";"Radius";"Minimum node degree";"Maximum node degree";"TF with MND";"R squared";"p-value";"Average path length";"ln(N)";"ln(ln(N))";"Transitivity";"Hubs"
"11_orthologous_old_network";"11_orthologous_old_network";858;1595;9;0;0;171;"Csal_0976";0,745160193214171;1,53670823020366e-11;3,80278462235087;6,75460409948796;1,91022436118062;0,228936502575338;36
"12_TRNcore_network";"12_TRNcore_network";1156;2064;9;0;0;171;"Csal_0976";0,764502163707415;2,38291315963611e-14;3,97773661326064;7,05272104923232;1,95341350678918;0,212283354543757;54
"13_orthologous_new_network";"13_orthologous_new_network";1306;2619;7;0;0;980;"Csal_0976";0,571584759459731;3,79571814200163e-08;2,43487447208161;7,17472430983638;1,97056433719129;0,657030998771359;55
"14_final_network";"14_final_network";1743;4092;9;0;0;1022;"Csal_0976";0,690381236073089;2,75304540176328e-14;2,84644983296957;7,46336304552002;2,01000612302262;0,494300476540879;73
"21_bacillus_subtilis_network";"21_bacillus_subtilis_network";3566;7931;9;0;0;1239;"sigA";0,681122198198312;5,24287764347597e-19;3,44130337111731;8,17919979842309;2,1015943216759;0,405027030374707;162
"22_corynebacterium_glutamicum_network";"22_corynebacterium_glutamicum_network";3072;5222;8;1;1;2076;"sigA";0,572975005327438;4,00587290205318e-09;2,57444708000538;8,03008409426756;2,08319500041536;0,531228282806088;110
"23_escherichia_coli_network";"23_escherichia_coli_network";2461;7305;7;0;0;1698;"rpoD";0,640546147006989;3,59728659824773e-15;2,5508650106791;7,80832305039106;2,05519022253654;0,542259003491098;121
"24_mycobacterium_tuberculosis_network";"24_mycobacterium_tuberculosis_network";3134;10147;6;1;1;458;"Rv0081";0,703970203049815;9,79592453876542e-26;3,24044035181526;8,05006542291597;2,08568021846775;0,18430011742057;155
"25_pseudomonas_aeruginosa_network";"25_pseudomonas_aeruginosa_network";3004;5501;8;1;1;753;"rpoD";0,612606663565899;5,61937263635015e-14;3,37538353057981;8,00770001288403;2,08040358038267;0,189839156742288;150
"26_staphylococcus_aureus_network";"26_staphylococcus_aureus_network";683;2039;10;1;1;231;"USA300HOU_0622";0,552409305331132;1,53430827084258e-06;3,28281995952063;6,52649485957079;1,87587002422222;0,383260659582851;33
"27_streptococcus_pneumoniae_network";"27_streptococcus_pneumoniae_network";202;245;13;1;1;40;"CGSSp9BS68_11992";0,743320785891409;5,23436179116289e-06;5,50151295085936;5,30826769740121;1,66926554801688;0,0843782740556934;11
"28_streptococcus_pyogenes_network";"28_streptococcus_pyogenes_network";171;226;8;1;1;31;"spyM18_0328";0,679402347699863;5,24007065605089e-05;3,86361058601134;5,14166355650266;1,63737667622902;0,161366208462983;9
"29_streptomyces_coelicolor_network";"29_streptomyces_coelicolor_network";5364;9692;7;1;1;2344;"SCO4230";0,507854746064393;5,59493252757923e-09;2,83636800663399;8,58746524440157;2,15030361030902;0,378734940727156;233
