"";"TF.names";"node degree";"networks_names"
"1";"Csal_0976";171;"11_orthologous_old_network"
"2";"Csal_0876";148;"11_orthologous_old_network"
"3";"Csal_3097";104;"11_orthologous_old_network"
"4";"Csal_1805";100;"11_orthologous_old_network"
"5";"Csal_2288";79;"11_orthologous_old_network"
"6";"Csal_0768";78;"11_orthologous_old_network"
"7";"Csal_2649";49;"11_orthologous_old_network"
"8";"Csal_0466";45;"11_orthologous_old_network"
"9";"Csal_2070";44;"11_orthologous_old_network"
"10";"Csal_1531";42;"11_orthologous_old_network"
"11";"Csal_2028";41;"11_orthologous_old_network"
"12";"Csal_0866";40;"11_orthologous_old_network"
"13";"Csal_0403";38;"11_orthologous_old_network"
"14";"Csal_0968";38;"11_orthologous_old_network"
"15";"Csal_2011";38;"11_orthologous_old_network"
"16";"Csal_2226";36;"11_orthologous_old_network"
"17";"Csal_2847";31;"11_orthologous_old_network"
"18";"Csal_1232";30;"11_orthologous_old_network"
"19";"Csal_0246";30;"11_orthologous_old_network"
"20";"Csal_3253";27;"11_orthologous_old_network"
"21";"Csal_1626";27;"11_orthologous_old_network"
"22";"Csal_2914";23;"11_orthologous_old_network"
"23";"Csal_3244";22;"11_orthologous_old_network"
"24";"Csal_0987";21;"11_orthologous_old_network"
"25";"Csal_3306";19;"11_orthologous_old_network"
"26";"Csal_2428";19;"11_orthologous_old_network"
"27";"Csal_0001";14;"11_orthologous_old_network"
"28";"Csal_0669";13;"11_orthologous_old_network"
"29";"Csal_1896";13;"11_orthologous_old_network"
"30";"Csal_3062";12;"11_orthologous_old_network"
"31";"Csal_2433";12;"11_orthologous_old_network"
"32";"Csal_1730";12;"11_orthologous_old_network"
"33";"Csal_0630";11;"11_orthologous_old_network"
"34";"Csal_0307";11;"11_orthologous_old_network"
"35";"Csal_1836";10;"11_orthologous_old_network"
"36";"Csal_2069";10;"11_orthologous_old_network"
"37";"Csal_0976";171;"12_TRNcore_network"
"38";"Csal_0876";148;"12_TRNcore_network"
"39";"Csal_3097";104;"12_TRNcore_network"
"40";"Csal_1805";101;"12_TRNcore_network"
"41";"Csal_2649";95;"12_TRNcore_network"
"42";"Csal_0466";92;"12_TRNcore_network"
"43";"Csal_2288";79;"12_TRNcore_network"
"44";"Csal_0768";78;"12_TRNcore_network"
"45";"Csal_2847";70;"12_TRNcore_network"
"46";"Csal_1531";64;"12_TRNcore_network"
"47";"Csal_0403";58;"12_TRNcore_network"
"48";"Csal_2028";51;"12_TRNcore_network"
"49";"Csal_1739";50;"12_TRNcore_network"
"50";"Csal_2070";45;"12_TRNcore_network"
"51";"Csal_0246";43;"12_TRNcore_network"
"52";"Csal_3244";42;"12_TRNcore_network"
"53";"Csal_0866";40;"12_TRNcore_network"
"54";"Csal_0968";38;"12_TRNcore_network"
"55";"Csal_2011";38;"12_TRNcore_network"
"56";"Csal_2226";36;"12_TRNcore_network"
"57";"Csal_1232";32;"12_TRNcore_network"
"58";"Csal_0041";29;"12_TRNcore_network"
"59";"Csal_1626";27;"12_TRNcore_network"
"60";"Csal_3253";27;"12_TRNcore_network"
"61";"Csal_1750";26;"12_TRNcore_network"
"62";"Csal_0832";23;"12_TRNcore_network"
"63";"Csal_2914";23;"12_TRNcore_network"
"64";"Csal_0987";21;"12_TRNcore_network"
"65";"Csal_2428";19;"12_TRNcore_network"
"66";"Csal_3306";19;"12_TRNcore_network"
"67";"Csal_2742";19;"12_TRNcore_network"
"68";"Csal_2433";19;"12_TRNcore_network"
"69";"Csal_0358";17;"12_TRNcore_network"
"70";"Csal_2069";17;"12_TRNcore_network"
"71";"Csal_1906";15;"12_TRNcore_network"
"72";"Csal_0307";14;"12_TRNcore_network"
"73";"Csal_0001";14;"12_TRNcore_network"
"74";"Csal_0669";13;"12_TRNcore_network"
"75";"Csal_0389";13;"12_TRNcore_network"
"76";"Csal_1896";13;"12_TRNcore_network"
"77";"Csal_1730";12;"12_TRNcore_network"
"78";"Csal_3062";12;"12_TRNcore_network"
"79";"Csal_0630";11;"12_TRNcore_network"
"80";"Csal_2973";11;"12_TRNcore_network"
"81";"Csal_0671";10;"12_TRNcore_network"
"82";"Csal_1790";10;"12_TRNcore_network"
"83";"Csal_1836";10;"12_TRNcore_network"
"84";"Csal_0674";9;"12_TRNcore_network"
"85";"Csal_0927";9;"12_TRNcore_network"
"86";"Csal_2418";9;"12_TRNcore_network"
"87";"Csal_1826";9;"12_TRNcore_network"
"88";"Csal_2000";9;"12_TRNcore_network"
"89";"Csal_2001";9;"12_TRNcore_network"
"90";"Csal_2314";9;"12_TRNcore_network"
"91";"Csal_0976";982;"13_orthologous_new_network"
"92";"Csal_2226";253;"13_orthologous_new_network"
"93";"Csal_2631";201;"13_orthologous_new_network"
"94";"Csal_1626";145;"13_orthologous_new_network"
"95";"Csal_2986";131;"13_orthologous_new_network"
"96";"Csal_2135";93;"13_orthologous_new_network"
"97";"Csal_2011";84;"13_orthologous_new_network"
"98";"Csal_2288";74;"13_orthologous_new_network"
"99";"Csal_3097";71;"13_orthologous_new_network"
"100";"Csal_2649";40;"13_orthologous_new_network"
"101";"Csal_2070";36;"13_orthologous_new_network"
"102";"Csal_0403";34;"13_orthologous_new_network"
"103";"Csal_0669";31;"13_orthologous_new_network"
"104";"Csal_1783";30;"13_orthologous_new_network"
"105";"Csal_1531";29;"13_orthologous_new_network"
"106";"Csal_2132";28;"13_orthologous_new_network"
"107";"Csal_3253";25;"13_orthologous_new_network"
"108";"Csal_2821";23;"13_orthologous_new_network"
"109";"Csal_0246";23;"13_orthologous_new_network"
"110";"Csal_0968";22;"13_orthologous_new_network"
"111";"Csal_1063";21;"13_orthologous_new_network"
"112";"Csal_0987";20;"13_orthologous_new_network"
"113";"Csal_0027";20;"13_orthologous_new_network"
"114";"Csal_0001";20;"13_orthologous_new_network"
"115";"Csal_0876";19;"13_orthologous_new_network"
"116";"Csal_2847";17;"13_orthologous_new_network"
"117";"Csal_2428";14;"13_orthologous_new_network"
"118";"Csal_1805";13;"13_orthologous_new_network"
"119";"Csal_2152";12;"13_orthologous_new_network"
"120";"Csal_0956";12;"13_orthologous_new_network"
"121";"Csal_0954";11;"13_orthologous_new_network"
"122";"Csal_0955";11;"13_orthologous_new_network"
"123";"Csal_1180";10;"13_orthologous_new_network"
"124";"Csal_2069";10;"13_orthologous_new_network"
"125";"Csal_0958";10;"13_orthologous_new_network"
"126";"Csal_1826";9;"13_orthologous_new_network"
"127";"Csal_0671";9;"13_orthologous_new_network"
"128";"Csal_0727";9;"13_orthologous_new_network"
"129";"Csal_0102";9;"13_orthologous_new_network"
"130";"Csal_2962";9;"13_orthologous_new_network"
"131";"Csal_2418";8;"13_orthologous_new_network"
"132";"Csal_3205";8;"13_orthologous_new_network"
"133";"Csal_1516";8;"13_orthologous_new_network"
"134";"Csal_0768";8;"13_orthologous_new_network"
"135";"Csal_2994";8;"13_orthologous_new_network"
"136";"Csal_2586";8;"13_orthologous_new_network"
"137";"Csal_0452";8;"13_orthologous_new_network"
"138";"Csal_1827";7;"13_orthologous_new_network"
"139";"Csal_0927";7;"13_orthologous_new_network"
"140";"Csal_1329";7;"13_orthologous_new_network"
"141";"Csal_1330";7;"13_orthologous_new_network"
"142";"Csal_2741";7;"13_orthologous_new_network"
"143";"Csal_0615";7;"13_orthologous_new_network"
"144";"Csal_0616";7;"13_orthologous_new_network"
"145";"Csal_1219";7;"13_orthologous_new_network"
"146";"Csal_0976";1024;"14_final_network"
"147";"Csal_2226";271;"14_final_network"
"148";"Csal_2631";201;"14_final_network"
"149";"Csal_1626";158;"14_final_network"
"150";"Csal_0876";152;"14_final_network"
"151";"Csal_2986";133;"14_final_network"
"152";"Csal_3097";116;"14_final_network"
"153";"Csal_1805";106;"14_final_network"
"154";"Csal_2011";100;"14_final_network"
"155";"Csal_2649";97;"14_final_network"
"156";"Csal_2135";93;"14_final_network"
"157";"Csal_0466";92;"14_final_network"
"158";"Csal_2288";92;"14_final_network"
"159";"Csal_0768";79;"14_final_network"
"160";"Csal_2847";74;"14_final_network"
"161";"Csal_1531";68;"14_final_network"
"162";"Csal_0403";61;"14_final_network"
"163";"Csal_2028";56;"14_final_network"
"164";"Csal_0968";53;"14_final_network"
"165";"Csal_1739";50;"14_final_network"
"166";"Csal_0246";49;"14_final_network"
"167";"Csal_2070";46;"14_final_network"
"168";"Csal_0669";44;"14_final_network"
"169";"Csal_3244";42;"14_final_network"
"170";"Csal_0866";41;"14_final_network"
"171";"Csal_3253";40;"14_final_network"
"172";"Csal_0987";39;"14_final_network"
"173";"Csal_2132";34;"14_final_network"
"174";"Csal_1783";32;"14_final_network"
"175";"Csal_1232";32;"14_final_network"
"176";"Csal_0041";29;"14_final_network"
"177";"Csal_1750";26;"14_final_network"
"178";"Csal_2428";25;"14_final_network"
"179";"Csal_2914";25;"14_final_network"
"180";"Csal_0001";25;"14_final_network"
"181";"Csal_2821";23;"14_final_network"
"182";"Csal_0832";23;"14_final_network"
"183";"Csal_1063";21;"14_final_network"
"184";"Csal_0027";21;"14_final_network"
"185";"Csal_3306";20;"14_final_network"
"186";"Csal_2742";20;"14_final_network"
"187";"Csal_2433";20;"14_final_network"
"188";"Csal_2069";19;"14_final_network"
"189";"Csal_0358";17;"14_final_network"
"190";"Csal_2418";17;"14_final_network"
"191";"Csal_0307";15;"14_final_network"
"192";"Csal_0630";15;"14_final_network"
"193";"Csal_1906";15;"14_final_network"
"194";"Csal_1896";14;"14_final_network"
"195";"Csal_0389";13;"14_final_network"
"196";"Csal_2152";13;"14_final_network"
"197";"Csal_0956";13;"14_final_network"
"198";"Csal_1730";12;"14_final_network"
"199";"Csal_1836";12;"14_final_network"
"200";"Csal_2962";12;"14_final_network"
"201";"Csal_3062";12;"14_final_network"
"202";"Csal_0954";12;"14_final_network"
"203";"Csal_0955";12;"14_final_network"
"204";"Csal_0671";11;"14_final_network"
"205";"Csal_1790";11;"14_final_network"
"206";"Csal_2973";11;"14_final_network"
"207";"Csal_0615";11;"14_final_network"
"208";"Csal_0616";11;"14_final_network"
"209";"Csal_0452";11;"14_final_network"
"210";"Csal_0958";11;"14_final_network"
"211";"Csal_1180";10;"14_final_network"
"212";"Csal_0927";10;"14_final_network"
"213";"Csal_1826";10;"14_final_network"
"214";"Csal_1330";10;"14_final_network"
"215";"Csal_2741";10;"14_final_network"
"216";"Csal_2027";10;"14_final_network"
"217";"Csal_1117";10;"14_final_network"
"218";"Csal_2314";10;"14_final_network"
"219";"sigA";1241;"21_bacillus_subtilis_network"
"220";"abrB";351;"21_bacillus_subtilis_network"
"221";"sigE";327;"21_bacillus_subtilis_network"
"222";"ccpA";313;"21_bacillus_subtilis_network"
"223";"sigG";258;"21_bacillus_subtilis_network"
"224";"sigB";242;"21_bacillus_subtilis_network"
"225";"spo0A";225;"21_bacillus_subtilis_network"
"226";"codY";217;"21_bacillus_subtilis_network"
"227";"sigK";173;"21_bacillus_subtilis_network"
"228";"sigM";165;"21_bacillus_subtilis_network"
"229";"sigF";161;"21_bacillus_subtilis_network"
"230";"sigD";149;"21_bacillus_subtilis_network"
"231";"BSU25760";140;"21_bacillus_subtilis_network"
"232";"degU";115;"21_bacillus_subtilis_network"
"233";"tnrA";105;"21_bacillus_subtilis_network"
"234";"gerE";99;"21_bacillus_subtilis_network"
"235";"comK";89;"21_bacillus_subtilis_network"
"236";"spoIIID";88;"21_bacillus_subtilis_network"
"237";"sigW";88;"21_bacillus_subtilis_network"
"238";"yqaE";86;"21_bacillus_subtilis_network"
"239";"sigH";85;"21_bacillus_subtilis_network"
"240";"lmrA";81;"21_bacillus_subtilis_network"
"241";"resD";77;"21_bacillus_subtilis_network"
"242";"spxA";76;"21_bacillus_subtilis_network"
"243";"phoP";75;"21_bacillus_subtilis_network"
"244";"dnaA";72;"21_bacillus_subtilis_network"
"245";"fur";71;"21_bacillus_subtilis_network"
"246";"lexA";66;"21_bacillus_subtilis_network"
"247";"hpr";61;"21_bacillus_subtilis_network"
"248";"spoVT";56;"21_bacillus_subtilis_network"
"249";"sinR";56;"21_bacillus_subtilis_network"
"250";"rok";56;"21_bacillus_subtilis_network"
"251";"hrcA";55;"21_bacillus_subtilis_network"
"252";"cymR";52;"21_bacillus_subtilis_network"
"253";"ydfI";50;"21_bacillus_subtilis_network"
"254";"rghR";49;"21_bacillus_subtilis_network"
"255";"sigX";49;"21_bacillus_subtilis_network"
"256";"ylaC";44;"21_bacillus_subtilis_network"
"257";"ylxR";40;"21_bacillus_subtilis_network"
"258";"fapR";40;"21_bacillus_subtilis_network"
"259";"purR";39;"21_bacillus_subtilis_network"
"260";"mta";39;"21_bacillus_subtilis_network"
"261";"abh";38;"21_bacillus_subtilis_network"
"262";"xpf";38;"21_bacillus_subtilis_network"
"263";"swrAA";35;"21_bacillus_subtilis_network"
"264";"yycF";33;"21_bacillus_subtilis_network"
"265";"yjbD";33;"21_bacillus_subtilis_network"
"266";"comA";33;"21_bacillus_subtilis_network"
"267";"birA";33;"21_bacillus_subtilis_network"
"268";"argR";32;"21_bacillus_subtilis_network"
"269";"nadR";32;"21_bacillus_subtilis_network"
"270";"yusO";31;"21_bacillus_subtilis_network"
"271";"ylzA";30;"21_bacillus_subtilis_network"
"272";"ylbO";29;"21_bacillus_subtilis_network"
"273";"perR";29;"21_bacillus_subtilis_network"
"274";"yesS";29;"21_bacillus_subtilis_network"
"275";"yofA";28;"21_bacillus_subtilis_network"
"276";"iolR";27;"21_bacillus_subtilis_network"
"277";"aseR";26;"21_bacillus_subtilis_network"
"278";"natR";25;"21_bacillus_subtilis_network"
"279";"sigV";25;"21_bacillus_subtilis_network"
"280";"arfM";25;"21_bacillus_subtilis_network"
"281";"ctsR";25;"21_bacillus_subtilis_network"
"282";"sigL";24;"21_bacillus_subtilis_network"
"283";"ytrA";23;"21_bacillus_subtilis_network"
"284";"pucR";23;"21_bacillus_subtilis_network"
"285";"azlB";22;"21_bacillus_subtilis_network"
"286";"sigI";22;"21_bacillus_subtilis_network"
"287";"fadR";22;"21_bacillus_subtilis_network"
"288";"BSU33221";21;"21_bacillus_subtilis_network"
"289";"mtrB";21;"21_bacillus_subtilis_network"
"290";"cysL";20;"21_bacillus_subtilis_network"
"291";"ytlI";20;"21_bacillus_subtilis_network"
"292";"araR";20;"21_bacillus_subtilis_network"
"293";"btr";19;"21_bacillus_subtilis_network"
"294";"immR";19;"21_bacillus_subtilis_network"
"295";"mgsR";19;"21_bacillus_subtilis_network"
"296";"ganR";19;"21_bacillus_subtilis_network"
"297";"yvrHb";19;"21_bacillus_subtilis_network"
"298";"liaR";19;"21_bacillus_subtilis_network"
"299";"mntR";18;"21_bacillus_subtilis_network"
"300";"gbsR";18;"21_bacillus_subtilis_network"
"301";"yvcP";18;"21_bacillus_subtilis_network"
"302";"cggR";18;"21_bacillus_subtilis_network"
"303";"exuR";18;"21_bacillus_subtilis_network"
"304";"csoR";17;"21_bacillus_subtilis_network"
"305";"adhR";17;"21_bacillus_subtilis_network"
"306";"yodB";17;"21_bacillus_subtilis_network"
"307";"fnr";17;"21_bacillus_subtilis_network"
"308";"padR";17;"21_bacillus_subtilis_network"
"309";"rex";16;"21_bacillus_subtilis_network"
"310";"yobD";16;"21_bacillus_subtilis_network"
"311";"deoR";16;"21_bacillus_subtilis_network"
"312";"glnR";16;"21_bacillus_subtilis_network"
"313";"yvrH";16;"21_bacillus_subtilis_network"
"314";"ykuM";16;"21_bacillus_subtilis_network"
"315";"yesN";16;"21_bacillus_subtilis_network"
"316";"slrR";16;"21_bacillus_subtilis_network"
"317";"ykrK";15;"21_bacillus_subtilis_network"
"318";"zur";15;"21_bacillus_subtilis_network"
"319";"cssR";15;"21_bacillus_subtilis_network"
"320";"ywbI";15;"21_bacillus_subtilis_network"
"321";"glnL";15;"21_bacillus_subtilis_network"
"322";"kipR";15;"21_bacillus_subtilis_network"
"323";"acoR";15;"21_bacillus_subtilis_network"
"324";"rbsR";15;"21_bacillus_subtilis_network"
"325";"ycbG";15;"21_bacillus_subtilis_network"
"326";"nsrR";14;"21_bacillus_subtilis_network"
"327";"yclJ";14;"21_bacillus_subtilis_network"
"328";"ykyB";14;"21_bacillus_subtilis_network"
"329";"BSU_misc_RNA_11";14;"21_bacillus_subtilis_network"
"330";"sigO";14;"21_bacillus_subtilis_network"
"331";"citB";14;"21_bacillus_subtilis_network"
"332";"pyrR";13;"21_bacillus_subtilis_network"
"333";"rocR";13;"21_bacillus_subtilis_network"
"334";"sacY";13;"21_bacillus_subtilis_network"
"335";"yybA";13;"21_bacillus_subtilis_network"
"336";"gmuR";13;"21_bacillus_subtilis_network"
"337";"yoaU";12;"21_bacillus_subtilis_network"
"338";"yqiR";12;"21_bacillus_subtilis_network"
"339";"adaA";12;"21_bacillus_subtilis_network"
"340";"licR";12;"21_bacillus_subtilis_network"
"341";"rsfA";12;"21_bacillus_subtilis_network"
"342";"bscR";12;"21_bacillus_subtilis_network"
"343";"ykvN";11;"21_bacillus_subtilis_network"
"344";"yhcF";11;"21_bacillus_subtilis_network"
"345";"sigY";11;"21_bacillus_subtilis_network"
"346";"sacT";11;"21_bacillus_subtilis_network"
"347";"hprT";11;"21_bacillus_subtilis_network"
"348";"comZ";11;"21_bacillus_subtilis_network"
"349";"arsR";11;"21_bacillus_subtilis_network"
"350";"yxdJ";11;"21_bacillus_subtilis_network"
"351";"ccpN";11;"21_bacillus_subtilis_network"
"352";"xre";11;"21_bacillus_subtilis_network"
"353";"yfiR";11;"21_bacillus_subtilis_network"
"354";"treR";11;"21_bacillus_subtilis_network"
"355";"kdgR";11;"21_bacillus_subtilis_network"
"356";"yvoA";11;"21_bacillus_subtilis_network"
"357";"hutP";11;"21_bacillus_subtilis_network"
"358";"gntR";11;"21_bacillus_subtilis_network"
"359";"yrkP";10;"21_bacillus_subtilis_network"
"360";"yobQ";10;"21_bacillus_subtilis_network"
"361";"mhqR";10;"21_bacillus_subtilis_network"
"362";"splA";10;"21_bacillus_subtilis_network"
"363";"nusA";10;"21_bacillus_subtilis_network"
"364";"tilS";10;"21_bacillus_subtilis_network"
"365";"ohrR";10;"21_bacillus_subtilis_network"
"366";"tenI";10;"21_bacillus_subtilis_network"
"367";"ydhC";10;"21_bacillus_subtilis_network"
"368";"msmR";10;"21_bacillus_subtilis_network"
"369";"sdpR";10;"21_bacillus_subtilis_network"
"370";"xylR";9;"21_bacillus_subtilis_network"
"371";"ycgE";9;"21_bacillus_subtilis_network"
"372";"rho";9;"21_bacillus_subtilis_network"
"373";"lutR";9;"21_bacillus_subtilis_network"
"374";"glcR";9;"21_bacillus_subtilis_network"
"375";"yfmP";9;"21_bacillus_subtilis_network"
"376";"opcR";9;"21_bacillus_subtilis_network"
"377";"tenA";9;"21_bacillus_subtilis_network"
"378";"bmrR";9;"21_bacillus_subtilis_network"
"379";"rsoA";9;"21_bacillus_subtilis_network"
"380";"manR";9;"21_bacillus_subtilis_network"
"381";"sigA";2078;"22_corynebacterium_glutamicum_network"
"382";"hrrA";508;"22_corynebacterium_glutamicum_network"
"383";"ramA";281;"22_corynebacterium_glutamicum_network"
"384";"glxR";194;"22_corynebacterium_glutamicum_network"
"385";"sigH";148;"22_corynebacterium_glutamicum_network"
"386";"ramB";133;"22_corynebacterium_glutamicum_network"
"387";"atlR";101;"22_corynebacterium_glutamicum_network"
"388";"mcbR";99;"22_corynebacterium_glutamicum_network"
"389";"dtxR";65;"22_corynebacterium_glutamicum_network"
"390";"rosR";61;"22_corynebacterium_glutamicum_network"
"391";"ipsA";57;"22_corynebacterium_glutamicum_network"
"392";"gntR1";57;"22_corynebacterium_glutamicum_network"
"393";"gntR2";54;"22_corynebacterium_glutamicum_network"
"394";"lexA";52;"22_corynebacterium_glutamicum_network"
"395";"ltbR";51;"22_corynebacterium_glutamicum_network"
"396";"sugR";48;"22_corynebacterium_glutamicum_network"
"397";"malR";42;"22_corynebacterium_glutamicum_network"
"398";"amtR";42;"22_corynebacterium_glutamicum_network"
"399";"mtrA";32;"22_corynebacterium_glutamicum_network"
"400";"esrR";29;"22_corynebacterium_glutamicum_network"
"401";"sigD";28;"22_corynebacterium_glutamicum_network"
"402";"oxyR";25;"22_corynebacterium_glutamicum_network"
"403";"ripA";23;"22_corynebacterium_glutamicum_network"
"404";"phoR";22;"22_corynebacterium_glutamicum_network"
"405";"cysR";21;"22_corynebacterium_glutamicum_network"
"406";"LolR";20;"22_corynebacterium_glutamicum_network"
"407";"sigB";20;"22_corynebacterium_glutamicum_network"
"408";"zur";20;"22_corynebacterium_glutamicum_network"
"409";"sigM";19;"22_corynebacterium_glutamicum_network"
"410";"whcA";17;"22_corynebacterium_glutamicum_network"
"411";"argR";16;"22_corynebacterium_glutamicum_network"
"412";"genR";16;"22_corynebacterium_glutamicum_network"
"413";"pcaR";15;"22_corynebacterium_glutamicum_network"
"414";"rbsR";14;"22_corynebacterium_glutamicum_network"
"415";"nanR";14;"22_corynebacterium_glutamicum_network"
"416";"sufR";14;"22_corynebacterium_glutamicum_network"
"417";"farR";13;"22_corynebacterium_glutamicum_network"
"418";"lldR";13;"22_corynebacterium_glutamicum_network"
"419";"ssuR";13;"22_corynebacterium_glutamicum_network"
"420";"uriR";13;"22_corynebacterium_glutamicum_network"
"421";"nrtR";13;"22_corynebacterium_glutamicum_network"
"422";"cg2766";12;"22_corynebacterium_glutamicum_network"
"423";"hspR";12;"22_corynebacterium_glutamicum_network"
"424";"arnR";12;"22_corynebacterium_glutamicum_network"
"425";"SpiA-WhcA";12;"22_corynebacterium_glutamicum_network"
"426";"fruR";12;"22_corynebacterium_glutamicum_network"
"427";"clgR";12;"22_corynebacterium_glutamicum_network"
"428";"sigC";11;"22_corynebacterium_glutamicum_network"
"429";"copR";11;"22_corynebacterium_glutamicum_network"
"430";"benR";11;"22_corynebacterium_glutamicum_network"
"431";"bioQ";11;"22_corynebacterium_glutamicum_network"
"432";"cg0646";11;"22_corynebacterium_glutamicum_network"
"433";"trxB";11;"22_corynebacterium_glutamicum_network"
"434";"relA";10;"22_corynebacterium_glutamicum_network"
